265,105,3,ABC
105,107,1,B
105,104,3,ABC
104,196,1,B
104,21,1,C
104,111,3,ABC
111,197,1,B
111,166,3,ABC
166,119,2,AC
119,80,1,A
166,165,3,ABC
165,79,1,C
165,149,3,ABC
149,78,1,B
149,112,1,B
149,164,3,ABC
164,120,1,A
164,145,3,ABC
145,113,1,A
145,163,3,ABC
163,114,1,B
163,10,2,BC
163,160,3,ABC
160,138,1,C
138,11,1,C
138,115,1,C
160,130,3,ABC
130,122,2,AB
122,58,1,A
130,129,1,C
130,136,3,ABC
136,123,1,A
136,133,3,ABC
133,124,1,C
133,156,3,ABC
156,146,1,B
156,261,3,ABC
261,36,3,ABC
36,81,3,ABC
36,46,3,ABC
46,47,3,C
47,154,1,C
46,45,3,ABC
45,28,3,ABC
45,263,3,ABC
263,68,3,ABC
68,172,3,ABC
68,74,3,ABC
74,262,3,ABC
262,182,3,ABC
74,75,3,ABC
75,12,3,ABC
75,3,3,ABC
